property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,price,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
6,2,3,1,1,2,4,12,139,50,2,60,713,98.0,37.74873,-122.41545,33,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1,0,3,1,1,2,4,12,215,80,2,35,118,98.0,37.74873,-122.41545,21,0,0,0,0,1,0,1,0,0,0,1,1,0,1
6,2,1,1,1,0,4,1,98,30,1,30,252,98.0,37.74873,-122.41545,35,0,0,0,0,1,1,1,1,0,0,0,1,0,1
6,2,4,1,1,2,4,12,199,75,2,50,29,96.0,37.74873,-122.41545,36,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1,0,2,1,1,2,4,1,150,0,2,10,94,96.0,37.74873,-122.41545,36,0,0,0,1,1,0,1,1,0,0,0,1,1,1
8,0,2,1,1,1,4,14,107,155,2,50,21,95.0,37.74873,-122.41545,33,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,2,1,1,1,4,12,108,50,2,20,97,92.0,37.74873,-122.41545,32,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,2,1,1,4,1,127,50,2,50,261,98.0,37.74873,-122.41545,28,0,0,0,0,1,0,1,0,0,0,0,0,0,1
12,0,2,1,1,2,4,1,85,155,2,50,4,87.0,37.74873,-122.41545,31,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,0,2,1,1,1,2,12,104,0,1,0,11,91.0,37.74873,-122.41545,21,0,0,0,0,1,1,1,0,0,0,0,0,1,1
1,0,2,1,1,2,4,12,95,75,1,0,283,97.0,37.74873,-122.41545,33,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,4,1,1,2,4,12,175,120,2,10,3,100.0,37.74873,-122.41545,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,1,90,60,1,0,144,98.0,37.74873,-122.41545,34,0,1,0,1,1,1,0,1,0,0,0,0,1,1
1,2,1,1,1,1,4,12,99,100,1,25,122,94.0,37.74873,-122.41545,27,0,1,1,0,1,1,1,0,0,0,0,1,0,1
7,2,2,1,1,1,2,1,150,120,2,30,192,98.0,37.74873,-122.41545,26,0,0,0,1,1,1,0,0,0,0,0,1,1,1
8,0,2,1,1,1,4,12,166,65,1,0,373,94.0,37.74873,-122.41545,16,0,0,0,0,1,1,0,1,0,0,0,1,0,1
1,0,2,1,1,1,4,12,326,180,2,50,38,99.0,37.74873,-122.41545,26,0,0,0,1,1,1,1,1,0,0,1,0,1,1
8,2,2,1,1,1,4,1,109,60,1,0,146,98.0,37.74873,-122.41545,30,0,0,0,1,1,0,0,1,0,0,1,1,1,1
1,2,1,2,1,1,4,12,75,100,1,0,92,95.0,37.74873,-122.41545,23,0,1,1,0,1,0,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,12,97,100,2,20,86,98.0,37.74873,-122.41545,25,0,0,0,1,1,1,1,1,0,0,0,0,1,1
12,2,2,1,1,1,4,1,69,45,1,0,131,96.0,37.74873,-122.41545,37,0,1,0,0,1,1,1,1,0,0,0,1,0,1
12,2,2,1,1,1,4,1,102,70,2,200,239,98.0,37.74873,-122.41545,25,0,0,0,0,1,1,0,0,0,0,1,1,0,1
1,2,2,1,1,1,4,1,90,35,1,10,151,97.0,37.74873,-122.41545,39,0,1,0,0,1,0,1,1,0,0,1,0,0,1
1,2,1,2,1,1,4,12,75,85,1,0,130,96.0,37.74873,-122.41545,33,0,1,1,0,1,0,1,1,0,0,0,1,0,1
1,2,2,1,1,1,4,1,90,35,1,10,172,98.0,37.74873,-122.41545,25,0,1,0,0,1,0,1,0,0,0,1,0,0,1
1,2,1,1,1,1,4,1,80,20,1,20,200,99.0,37.74873,-122.41545,11,0,0,0,1,1,0,1,0,0,0,0,0,1,1
12,0,2,1,1,1,4,1,147,85,1,0,49,99.0,37.74873,-122.41545,28,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,0,2,1,1,1,4,12,145,105,2,20,110,98.0,37.74873,-122.41545,35,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,4,1,1,1,4,1,135,125,2,25,18,97.0,37.74873,-122.41545,10,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,1,1,1,1,4,1,57,45,1,40,94,88.0,37.74873,-122.41545,11,0,1,0,0,1,1,1,0,0,0,0,0,0,1
6,0,4,1,1,2,4,1,160,70,2,35,34,93.0,37.74873,-122.41545,21,0,0,0,0,1,1,1,0,0,0,0,1,0,1
12,2,1,1,1,1,4,12,58,60,1,50,40,96.0,37.74873,-122.41545,39,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,1,1,1,2,2,12,70,35,1,0,110,90.0,37.74873,-122.41545,15,0,1,0,0,1,1,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,1,102,70,2,200,183,97.0,37.74873,-122.41545,27,0,0,0,0,1,1,1,1,0,0,1,1,0,1
8,0,3,1,1,3,4,12,119,100,2,50,21,95.0,37.74873,-122.41545,50,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1,2,1,1,1,1,4,12,68,50,1,40,13,97.0,37.74873,-122.41545,17,0,1,0,1,1,1,1,0,0,0,0,0,1,1
8,0,2,1,1,1,4,1,145,60,1,0,203,99.0,37.74873,-122.41545,56,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,2,1,1,1,4,12,125,150,2,50,183,96.0,37.74873,-122.41545,19,0,0,0,0,1,1,1,0,0,0,1,1,0,1
1,0,2,1,1,1,2,12,100,50,1,10,211,96.0,37.74873,-122.41545,21,0,0,0,0,1,0,0,1,0,0,0,1,0,1
12,0,2,1,1,2,4,1,195,150,2,50,8,100.0,37.74873,-122.41545,38,1,0,0,0,1,1,1,1,0,0,1,1,0,1
12,2,2,1,1,1,4,12,98,100,1,50,45,92.0,37.74873,-122.41545,41,0,0,0,1,1,0,1,1,0,0,1,1,1,1
1,2,1,1,1,1,4,12,82,50,1,40,10,100.0,37.74873,-122.41545,13,0,0,0,1,1,1,1,0,0,0,0,0,1,1
1,3,2,1,1,1,2,1,79,45,1,15,54,90.0,37.74873,-122.41545,17,0,0,1,0,1,1,1,0,0,0,0,0,0,1
1,2,2,1,1,1,4,1,125,50,1,20,1,100.0,37.74873,-122.41545,20,0,0,1,0,1,1,1,0,0,0,1,0,0,1
1,0,4,1,1,1,4,1,178,200,1,0,6,100.0,37.74873,-122.41545,35,0,0,0,1,0,1,1,1,0,0,1,1,1,1
12,2,2,1,1,1,4,1,79,45,1,0,260,96.0,37.74873,-122.41545,28,0,0,0,1,1,1,1,1,0,0,1,1,1,1
8,2,2,1,1,0,4,12,85,76,1,45,405,93.0,37.74873,-122.41545,27,0,0,0,0,1,1,0,0,0,0,1,0,0,1
8,0,2,1,1,2,4,12,150,50,1,0,264,97.0,37.74873,-122.41545,22,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,2,1,1,0,4,14,95,50,2,20,21,92.0,37.74873,-122.41545,19,0,0,0,1,1,0,0,1,0,0,0,1,1,1
1,2,3,1,1,2,4,12,120,30,1,10,658,98.0,37.74873,-122.41545,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,2,2,1,1,1,4,12,120,30,1,10,665,98.0,37.74873,-122.41545,38,0,0,0,0,1,1,1,1,0,0,1,1,0,1
