property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,neighbourhood_cleansed,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,zc_lat,zc_lon,rental,num_amenities,air conditioning,cat(s),dog(s),dryer,heating,internet,kitchen,microwave,outdoor parking,private bathroom,self check-in,tv,washer,wifi
6,2,3,1,1,2,4,12,50,2,60,713,98.0,37.74873,-122.41545,5850.0,33,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1,0,3,1,1,2,4,12,80,2,35,118,98.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,0,1,0,0,0,1,1,0,1
6,2,1,1,1,0,4,1,30,1,30,252,98.0,37.74873,-122.41545,5850.0,35,0,0,0,0,1,1,1,1,0,0,0,1,0,1
6,2,4,1,1,2,4,12,75,2,50,29,96.0,37.74873,-122.41545,5850.0,36,0,0,1,0,1,1,0,1,0,1,0,1,0,1
1,0,2,1,1,2,4,1,0,2,10,94,96.0,37.74873,-122.41545,5850.0,36,0,0,0,1,1,0,1,1,0,0,0,1,1,1
8,0,2,1,1,1,4,14,155,2,50,21,95.0,37.74873,-122.41545,5850.0,33,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,2,1,1,1,4,12,50,2,20,97,92.0,37.74873,-122.41545,5850.0,32,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,2,2,1,1,4,1,50,2,50,261,98.0,37.74873,-122.41545,5850.0,28,0,0,0,0,1,0,1,0,0,0,0,0,0,1
12,0,2,1,1,2,4,1,155,2,50,4,87.0,37.74873,-122.41545,5850.0,31,0,0,0,0,1,1,1,1,0,0,1,1,0,1
1,0,2,1,1,1,2,12,0,1,0,11,91.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,1,1,0,0,0,0,0,1,1
1,0,2,1,1,2,4,12,75,1,0,283,97.0,37.74873,-122.41545,5850.0,33,0,0,0,0,1,0,1,1,0,0,1,1,0,1
1,0,4,1,1,2,4,12,120,2,10,3,100.0,37.74873,-122.41545,5850.0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,1,60,1,0,144,98.0,37.74873,-122.41545,5850.0,34,0,1,0,1,1,1,0,1,0,0,0,0,1,1
1,2,1,1,1,1,4,12,100,1,25,122,94.0,37.74873,-122.41545,5850.0,27,0,1,1,0,1,1,1,0,0,0,0,1,0,1
7,2,2,1,1,1,2,1,120,2,30,192,98.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,0,0,0,0,0,1,1,1
8,0,2,1,1,1,4,12,65,1,0,373,94.0,37.74873,-122.41545,5850.0,16,0,0,0,0,1,1,0,1,0,0,0,1,0,1
1,0,2,1,1,1,4,12,180,2,50,38,99.0,37.74873,-122.41545,5850.0,26,0,0,0,1,1,1,1,1,0,0,1,0,1,1
8,2,2,1,1,1,4,1,60,1,0,146,98.0,37.74873,-122.41545,5850.0,30,0,0,0,1,1,0,0,1,0,0,1,1,1,1
1,2,1,2,1,1,4,12,100,1,0,92,95.0,37.74873,-122.41545,5850.0,23,0,1,1,0,1,0,1,0,0,0,0,1,0,1
1,0,2,1,1,1,4,12,100,2,20,86,98.0,37.74873,-122.41545,5850.0,25,0,0,0,1,1,1,1,1,0,0,0,0,1,1
12,2,2,1,1,1,4,1,45,1,0,131,96.0,37.74873,-122.41545,5850.0,37,0,1,0,0,1,1,1,1,0,0,0,1,0,1
12,2,2,1,1,1,4,1,70,2,200,239,98.0,37.74873,-122.41545,5850.0,25,0,0,0,0,1,1,0,0,0,0,1,1,0,1
1,2,2,1,1,1,4,1,35,1,10,151,97.0,37.74873,-122.41545,5850.0,39,0,1,0,0,1,0,1,1,0,0,1,0,0,1
1,2,1,2,1,1,4,12,85,1,0,130,96.0,37.74873,-122.41545,5850.0,33,0,1,1,0,1,0,1,1,0,0,0,1,0,1
1,2,2,1,1,1,4,1,35,1,10,172,98.0,37.74873,-122.41545,5850.0,25,0,1,0,0,1,0,1,0,0,0,1,0,0,1
1,2,1,1,1,1,4,1,20,1,20,200,99.0,37.74873,-122.41545,5850.0,11,0,0,0,1,1,0,1,0,0,0,0,0,1,1
12,0,2,1,1,1,4,1,85,1,0,49,99.0,37.74873,-122.41545,5850.0,28,0,0,0,1,1,1,1,0,0,0,1,1,1,1
12,0,2,1,1,1,4,12,105,2,20,110,98.0,37.74873,-122.41545,5850.0,35,0,0,0,1,1,1,1,1,0,0,1,1,1,1
1,0,4,1,1,1,4,1,125,2,25,18,97.0,37.74873,-122.41545,5850.0,10,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1,2,1,1,1,1,4,1,45,1,40,94,88.0,37.74873,-122.41545,5850.0,11,0,1,0,0,1,1,1,0,0,0,0,0,0,1
6,0,4,1,1,2,4,1,70,2,35,34,93.0,37.74873,-122.41545,5850.0,21,0,0,0,0,1,1,1,0,0,0,0,1,0,1
12,2,1,1,1,1,4,12,60,1,50,40,96.0,37.74873,-122.41545,5850.0,39,0,0,0,1,1,0,1,1,0,0,1,1,1,1
12,2,1,1,1,2,2,12,35,1,0,110,90.0,37.74873,-122.41545,5850.0,15,0,1,0,0,1,1,1,0,0,0,0,0,0,1
12,2,2,1,1,1,4,1,70,2,200,183,97.0,37.74873,-122.41545,5850.0,27,0,0,0,0,1,1,1,1,0,0,1,1,0,1
8,0,3,1,1,3,4,12,100,2,50,21,95.0,37.74873,-122.41545,5850.0,50,0,0,0,1,1,0,1,1,0,0,1,1,1,1
