"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,5000,4795,4962.5,5195,5500,5400,5200,5375,5095,5000,5000,5000,4875,4850,5000,5200,5400,5487.5,5300,5650,5600,5175,5000,5200,5650,5700,5600,5425,5350,5000,5300,5175,5500,5500,5350,5500,5500,5500,5000,5175,5000,5095.5,5150,5000,4895,4800,4800,4897.5,5000,5150,5000,5000,4947.5,4900,4847.5,4800,4895,5000,4800,5000,5000,4895,5000,5000,4806,4812,4967.5,4823,4997.5,4847.5,4800,4945,4895,5175,5125,5300,5000,4800,4800,4800,4743.5,4800,4895,4800,4847.5,4800,4847.5,4997.5,5000,5000,4900,4800,4500
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,3195,3150,3075,3000,2950,2987.5,3150,3100,3000,2972.5,2972.5,3025,3025,2900,3200,3200,3300,3600,3600,3400,3400,3600,3400,3400,3400,3200,3200,3200,3400,3400,3200,3050,2995,2997.5,3025,3095,3195,3095,3495,3600,3600,3337.5,3200,3097.5,3100,3100,3147.5,3195,3195,3195,3400,3450,3595,3300,3200,3300,3200,3400,3250,3300,3200,3300,3500,3600,3755,3600,3475,3395,3030,3090,3197.5,3200,3200,3600,3600,3645,3800,3695,3400,3200,3200,2950,3200,3450,3540,3540,3695,3800,3800,3995,3600,3600,3600
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,2100,2025,2000,2115,2275,2375,2250,2300,2497.5,2300,2225,2100,2200,2347.5,2250,2350,2350,2300,2200,2200,2200,2300,2300,2290,2250,2200,2250,2300,2300,2300,2397.5,2400,2300,2400,2397.5,2350,2300,2300,2350,2350,2400,2400,2400,2400,2400,2350,2300,2350,2282.5,2298,2200,2250,2295,2400,2300,2325,2200,2150,2300,2197.5,1999.5,2175,2072.5,2162.5,2100,2200,2200,2200,2200,2250,2300,2400,2400,2400,2300,2300,2289.5,2287.5,2300,2275,2250,2197.5,2197.5,2150,2200,2250,2200,2200,2225,2250,2250,2300,2250,2200,2200,2200
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3825,3600,3800,3972.5,3995,3800,3600,3625,3625,3300,3300,3300,3300,3300,3735,4095,3995,3975,3600,3600,3300,3300,3600,3895,3695,3600,3850,3995,3995,3975,3898,3900,3600
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",5,,,,,,,1300,1300,1350,1350,1325,1312.5,1350,1350,1337.5,1325,1350,1300,1337.5,1350,1362.5,1395,1400,1397.5,1475,1450,1450,1495,1475,1475,1500,1500,1500,1500,1500,1495,1450,1450,1450,1469,1500,1500,1585,1550,1525,1525,1550,1525,1525,1525,1545,1550,1550,1532.5,1525,1537.5,1600,1595,1550,1517,1525,1525,1537.5,1550,1595,1595,1600,1550,1525,1500,1475,1450,1450,1460,1485,1500,1535,1545,1550,1500,1550,1550,1550,1550,1520,1550,1565,1644,1600,1650,1600,1600,1600,1600,1575,1595,1575,1595,1595,1599.5,1600,1600,1602,1605,1625,1630
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1700,1700,1575,1500,1500,1500,1495,1500,1500,1675,1650,1625,1550,1600,1600,1675,1650,1650,1650,1651.5,1625,1600,1650,1750,1672.5,1600,1650,1630,1625,1600,1597.5,1625,1687.5,1595,1600,1625,1650,1612.5,1582.5,1570,1550,1600,1600,1550,1649.5,1650,1599.5,1650,1695,1675,1675,1600,1600,1600,1599,1600,1637.5,1600,1650,1695,1657.5,1600,1600,1600,1630,1650,1650,1650,1625,1650,1680,1657.5,1697.5,1697.5,1750
"60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,2995,2800,2800,2700,2700,2575,2912.5,3000,3325,2995,2900,2795,2800,2900,2600,2600,2600,2600,2600,2797.5,2950,3200,3200,2995,2750,2675,2675
"28269","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1595,1625,1645,1600,1595,1625,1645,1637,1647,1647.5,1597.5,1622.5,1640,1650,1662.5,1670,1645,1650,1645,1650,1650,1598,1625,1635,1629.5,1695,1695,1650,1700,1695,1650,1649,1692.5
"77433","Cypress","TX","Houston-The Woodlands-Sugar Land","Harris County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1800,1850,1772.5,1797.5,1750,1900,1825,1850,1750,1797.5,1987.5,1819,1895,1819,1800,1800,1800,1800,1849,1925,1900,2000,1800,2100,2025,1850,2025,1995,1875,1850,1875,1900,1899.5,1850,1900,1862.5,1900,1925,1950,1995,2000,2000,2099.5,1950,1900,1950,1925,1900,1900,1950,1950,1900,1900,1890,1900,1950,1900,1900,1925,1900,1997.5,1925
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton County",10,,,,,,1200,1257.5,1260,1250,1187.5,1245,1200,1200,1200,1200,1200,1200,1175,1197.5,1197.5,1150,1100,1125,1125,1150,1195,1200,1200,1195,1200,1200,1200,1200,1200,1200,1200,1175,1185,1197.5,1195,1200,1200,1150,1150,1190,1185,1195,1245,1200,1200,1200,1225,1250,1250,1235,1250,1250,1250,1220,1220,1250,1250,1275,1297.5,1250,1300,1235,1295,1295,1295,1299.5,1325,1299.5,1400,1450,1425,1495,1495,1450,1352.5,1322.5,1345,1350,1395,1445,1450,1400,1445,1400,1400,1395,1400,1385,1472.5,1473.5,1495,1495,1525.5,1497.5,1462,1505,1579,1565,1650,1595,1605
