"RegionName","City","State","Metro","CountyName","SizeRank","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922.5,3000,3000,3000,3000,3000,3000,3000,3000,3300,3300,3300,3200,3000,3100,3100,3100,2987.5,3000,3050,3000,3000,3225,3100,3000,3050,3000,3000,3000,3000,3100,3100,3247.5,3100
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997.5,4100,4137.5,4237.5,3995,3975,3875,3975,4660,5400,5400,5047.5,4300,4897.5,4300,4197.5,4000,3900,3900
"02155","Medford","MA","Boston-Cambridge-Newton","Middlesex County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100,4000,4200,4437,4700,4400,4200,4000,3950,3950,3975,4000,4250
"02135","Boston","MA","Boston-Cambridge-Newton","Suffolk County",4,2800,3000,3000,3000,3000,3200,3600,3450,3025,3050,3050,3200,3400,3500,3400,3200,3300,3700,3600,3600,3600,3800,3600,3500,3525,3575,3600,3600,3500,3500,3600,3700,3800,3850,3800,3800,3850,3774.5,3750,3700,3750,3900,4000,3850,3800,3800,3800,3750,3800,3800,3800,3700,3800,3800,3650,3800,3800,3800,3950,4000,4000,4000,3900,4000,4000,4000,4000,3725,3725,4000,4350,4350,4200,4300,4300,4300,4300,4300,4100,4100,4200,4200,4100,4200,4200,4200,4250,4250,4200,4200,4200,4200,4300,4500,4500,4500,4500,4395,4395,4250,4195,4100,4000
"06511","New Haven","CT","New Haven-Milford","New Haven County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1297.5,1300,1387.5,1350,1300,1395,1525,1650,1650,1650,1650,1600,1600,1450,1295,1287.5,1300,1250,1300,1480,1415,1472.5,1475,1595,1625,1550,1550
"33178","Doral","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4099.5,4300,4000,3775,3900,4500,4500,4250,4500,4500,4650,4400,4500,4500,4500,4300,4300,4550,4500,4500,4500,4300,4300,4400,4300,4000,4400,4550,4500,4500,4500,4200,4250
"92880","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",7,,,,,,,,,,,2500,2497.5,2487,2400,2497.5,2500,2499.5,2425,2495,2495,2450,2495,2495,2400,2400,2450,2425,2500,2500,2500,2477.5,2400,2450,2495,2500,2500,2500,2500,2500,2500,2500,2500,2450,2500,2500,2500,2500,2550,2525,2600,2600,2600,2600,2600,2555,2650,2600,2600,2600,2650,2565,2600,2695,2625,2695,2662.5,2700,2777.5,2695,2700,2750,2800,2765,2780,2800,2800,2800,2800,2800,2750,2800,2800,2800,2890,2800,2895,2900,2900,2900,2900,2850,2887.5,2897.5,2850,2967.5,2997,2970,2950,2900,2900,2900,2900,2950
"66502","Manhattan","KS","Manhattan","Riley County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1800,1750,1600,1500,1500,1400,1395,1250,1100,1250
"02130","Boston","MA","Boston-Cambridge-Newton","Suffolk County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3500,3600,3600,3350,3375,3400,3500,4000,3500,3500,3450,3500,3455,3600,3600,3600,3500,3400,3300,3200,3000,2800,3000,3000,3397.5,3500,3847.5,3500,3400,3500,3400,3500,3050,3500,3250,3500,3800,3825,3600,3500,3500,3200,3200,3275,3200,3400,3500,3750,3750,3650,3750,3650,3750,3895,3750,3500,3400,3400,3400,3962.5,4000,4300,4500,4500,4100,3800,3700,3700,3600
"02446","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",10,,,,,,,,,,,4050,4100,4000,4200,4100,3950,3500,3450,3700,3795,3800,3800,4000,4000,3800,4000,3950,3950,3950,3800,3700,3700,3900,4500,4500,4500,4500,4400,4500,4500,4500,4500,4300,4000,4000,4000,4200,4400,4100,4100,4000,4000,4000,4000,3875,4200,4200,4800,4947.5,4800,4375,4600,4600,4500,4800,4800,4500,4247.5,4800,4700,4750,4600,4600,4500,4500,5100,4900,5100,4600,5000,5500,5500,5500,6250,6250,5995,5750,5500,5500,5500,5400,5750,6250,6000,5800,6000,6000,5800,5700,5600,5600,5600,6200
