"RegionName","City","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,1775,1795,1795,1850,1900,2000,1900,1900,1900,1895,1900,1875,1900,1900,1900,1925,2000,2072.5,2100,2150,2095,2000,2100,2150,2100,2190,2100,1995,2100,2200,2200,2290,2300,2300,2250,2250,2250,2300,2250,2450,2325,2400,2351,2400,2500,2401.5,2400,2505,2530,2530,2625,2500,2600,2650,2702.5,2727.5,2650,2600,2637.5,2702.5,2650,2613,2600,2510,2400,2591.5,2600,2550,2400,2500,2500,2600,2600,2595,2550,2505,2543,2550,2500,2500,2600,2600,2650,2700,2650,2665,2703,2682,2500,2406.5,2400,2600,2650,2700,2685.5,2700,2622.5,2700,2700,2800,2700,2700,2795
"60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",2,,,,,,,,,,,,,,,,,,895,850,845,875,885,895,900,875,875,915,950,905,950,950,925,925,925,925,950,985,985,975,975,975,975,990,975,960,975,975,975,975,960,1020,1005,995,1050,1045,1010,1000,1015,1020,1020,995,1055,1075,1055,1082.5,1095,1095,1125,1115,1095,1075,1075,1055,1065,1075,1075,1065,1150,1150,1150,1125,1150,1140,1130,1106,1100,1095,1095,1085,1150,1150,1145,1140,1142.5,1145,1125,1095,1050,1050,1030,1055,1130,1100,1195,1195,1165,1145,1150,1175,1150,1125
"10023","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,3400,2897.5,2447.5,2350,2350,2400,2500,2397.5,2350,2400,2300,2295,2200,2295,2295,2200,2235,2250,2240,2280,2299,2300,2350,2322.5,2300,2250,2200,2200,2210,2220,2300,2240,2270,2350,2300,2300,2365,2350,2395,2385,2330,2300,2400,2649,2675,2750,2800,2700,2700,2765,2750,2800,2875,2925,2900,2825,2771,2905,2897.5,2910,2850,2896.5,2900,2900,2884,2750,2720,2850,2652,2615,2695,2675,2600,2800,2850,2800,2800,2800,2750,2819,2760,2750,2765,2795,2800,2893,2897.5,2800,2800,2872.5,2800,2787.5,2700,2700,2790,2765,2795,2750,2800,2780,2800,2862.5,2700,2700,2750,2800,2800
"60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,1322.5,1397.5,1275,1343.5,1427.5,1500,1500,1467,1469.5,1469,1350,1297.5,1275,1250,1250,1205,1322.5,1300,1350,1350,1400,1390,1350,1341,1250,1250,1300,1367.5,1395,1405,1452.5,1450,1432.5,1399,1350,1340,1295,1295,1250,1255,1255,1285,1250,1285,1375,1320,1395,1350,1350,1320,1325,1335,1350,1320
"79936","El Paso","TX","El Paso","El Paso County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,975,975,970,1000,995,995,995,995,995,975,995,985,995,995,995,1050,1035,1050,1045,1000,1050,1050,1050,1050,1050,1000,995,1025,1000,1070,1100,1100,1100,1100,1095
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",6,,,,,,,920,885,799,745,740,745,725,730,725,725,725,745,735,750,790,762.5,755,765,775,795,780,782.5,780,810,815,820,850,815,845,830,850,840,825,825,825,807.5,802.5,825,825,825,825,825,850,880,850,850,825,850,850,845,875,875,895,950,950,950,950,950,950,950,950,975,972.5,1030,965,967.5,975,975,1005,965,965,975,995,1050,1025,1050,1050,1025,995,995,995,995,995,1030,1000,990,995,1000,1042.5,1062.5,1050,995,970,970,1000,1015,1000,1055,1095,1064,1050,1050,1095,1075,1050
"11226","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,1075,1050,1100,1150,1125,1100,1112.5,1125,1125,1125,1125,1195,1150,1250,1250,1250,1300,1325,1300,1350,1350,1575,1525,1450,1395,1375,1375,1395,1375,1350,1425,1400,1400,1400,1450,1499,1500,1475,1450,1475,1450,1450,1400,1400,1400,1525,1550,1600,1645,1475,1550,1550,1600,1650,1725,1650,1750,1700,1750,1550,1775,1550,1550,1550,1525,1482.5,1545,1600,1600,1500,1550,1500,1499,1500,1595,1550,1525,1525,1550,1550,1625,1600,1620.5,1616,1575,1600,1599,1597,1595,1600,1600,1675,1749,1699.5,1699,1675
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",8,,,,,,,,,,,,,,,,,,950,950,950,937.5,950,925,950,950,950,950,950,950,950,975,1000,1025,1000,1000,1000,1025,1075,1025,1000,1000,1040,1050,1050,1050,1099,1050,1086,1125,1200,1126,1140.5,1162.5,1162.5,1200,1175,1125,1150,1200,1200,1300,1250,1250,1250,1275,1275,1275,1295,1275,1295,1250,1325,1325,1300,1250,1250,1300,1250,1275,1300,1300,1300,1325,1300,1300,1300,1250,1250,1300,1400,1500,1450,1450,1400,1400,1500,1500,1500,1500,1437.5,1350,1425,1350,1350,1400,1400,1450,1487.5,1565,1637.5,1537.5
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",9,,,,,,1262.5,1250,1285,1200,1250,1300,1295,1262.5,1250,1295,1295,1250,1250,1250,1300,1300,1300,1350,1365,1310,1350,1300,1300,1295,1250,1295,1285,1328,1312.5,1370,1350,1350,1350,1350,1350,1337.5,1350,1350,1400,1400,1400,1425,1500,1500,1450,1425,1415,1399,1472.5,1400,1472.5,1450,1495,1495,1520,1500,1500,1495,1550,1585,1550,1575,1595,1595,1590,1600,1550,1562.5,1575,1550,1550,1550,1550,1595,1599.5,1600,1595,1600,1595,1597,1595,1550,1550,1528,1575,1595,1600,1625,1695,1650,1687,1675,1649.5,1600,1600,1625,1650,1662.5,1687,1700,1700,1700,1712.5,1695,1675,1665
"94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2250,2225,2160,2195,2100,2152,2247.5,2465,2422.5,2345,2272.5,2300,2395,2500,2597.5,2300,2395,2430,2395,2387.5,2195,2200,2295,2197.5,2195,2200,2295,2200,2195,2284,2200,2249.5,2262.5,2250,2250,2295,2295,2300,2285,2295,2300,2295,2295,2300,2295,2395,2395,2250,2290,2300,2305,2387.5,2345,2395,2445,2395,2395,2395,2325
